competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,Yes,No,Yes,No,No,Yes,No,Yes,No,0.73199999,0.86000001,66.971725
3 Musketeers,Yes,No,No,No,Yes,No,No,Yes,No,0.60399997,0.51099998,67.602936
Air Heads,No,Yes,No,No,No,No,No,No,No,0.90600002,0.51099998,52.341465
Almond Joy,Yes,No,No,Yes,No,No,No,Yes,No,0.465,0.76700002,50.347546
Baby Ruth,Yes,No,Yes,Yes,Yes,No,No,Yes,No,0.60399997,0.76700002,56.914547
Boston Baked Beans,No,No,No,Yes,No,No,No,No,Yes,0.31299999,0.51099998,23.417824
Candy Corn,No,No,No,No,No,No,No,No,Yes,0.90600002,0.32499999,38.010963
Caramel Apple Pops,No,Yes,Yes,No,No,No,No,No,No,0.60399997,0.32499999,34.517681
Charleston Chew,Yes,No,No,No,Yes,No,No,Yes,No,0.60399997,0.51099998,38.975037
Chewey Lemonhead Fruit Mix,No,Yes,No,No,No,No,No,No,Yes,0.73199999,0.51099998,36.017628
Chiclets,No,Yes,No,No,No,No,No,No,Yes,0.046,0.32499999,24.524988
Dots,No,Yes,No,No,No,No,No,No,Yes,0.73199999,0.51099998,42.272076
Dum Dums,No,Yes,No,No,No,No,Yes,No,No,0.73199999,0.034000002,39.460556
Fruit Chews,No,Yes,No,No,No,No,No,No,Yes,0.127,0.034000002,43.088924
Fun Dip,No,Yes,No,No,No,No,Yes,No,No,0.73199999,0.32499999,39.185505
Gobstopper,No,Yes,No,No,No,No,Yes,No,Yes,0.90600002,0.45300001,46.783348
Haribo Gold Bears,No,Yes,No,No,No,No,No,No,Yes,0.465,0.465,57.11974
Haribo Happy Cola,No,No,No,No,No,No,No,No,Yes,0.465,0.465,34.158958
Haribo Sour Bears,No,Yes,No,No,No,No,No,No,Yes,0.465,0.465,51.41243
Haribo Twin Snakes,No,Yes,No,No,No,No,No,No,Yes,0.465,0.465,42.178772
Hershey's Kisses,Yes,No,No,No,No,No,No,No,Yes,0.127,0.093000002,55.375454000000005
Hershey's Krackel,Yes,No,No,No,No,Yes,No,Yes,No,0.43000001,0.91799998,62.28448100000001
Hershey's Milk Chocolate,Yes,No,No,No,No,No,No,Yes,No,0.43000001,0.91799998,56.490501
Hershey's Special Dark,Yes,No,No,No,No,No,No,Yes,No,0.43000001,0.91799998,59.236122
Jawbusters,No,Yes,No,No,No,No,Yes,No,Yes,0.093000002,0.51099998,28.127439000000003
Junior Mints,Yes,No,No,No,No,No,No,No,Yes,0.1969999999999999,0.51099998,57.21925
Kit Kat,Yes,No,No,No,No,Yes,No,Yes,No,0.31299999,0.51099998,76.7686
Laffy Taffy,No,Yes,No,No,No,No,No,No,No,0.22,0.1159999999999999,41.389557
Lemonhead,No,Yes,No,No,No,No,Yes,No,No,0.046,0.104,39.141056
Lifesavers big ring gummies,No,Yes,No,No,No,No,No,No,No,0.26699999,0.27900001,52.911392000000006
Peanut butter M&M's,Yes,No,No,Yes,No,No,No,No,Yes,0.82499999,0.65100002,71.46505
M&M's,Yes,No,No,No,No,No,No,No,Yes,0.82499999,0.65100002,66.574585
Mike & Ike,No,Yes,No,No,No,No,No,No,Yes,0.87199998,0.32499999,46.411716
Milk Duds,Yes,No,Yes,No,No,No,No,No,Yes,0.30199999,0.51099998,55.064072
Milky Way,Yes,No,Yes,No,Yes,No,No,Yes,No,0.60399997,0.65100002,73.099556
Milky Way Midnight,Yes,No,Yes,No,Yes,No,No,Yes,No,0.73199999,0.44100001,60.800701
Milky Way Simply Caramel,Yes,No,Yes,No,No,No,No,Yes,No,0.96499997,0.86000001,64.35334
Mounds,Yes,No,No,No,No,No,No,Yes,No,0.31299999,0.86000001,47.829754
Mr Good Bar,Yes,No,No,Yes,No,No,No,Yes,No,0.31299999,0.91799998,54.526451
Nerds,No,Yes,No,No,No,No,Yes,No,Yes,0.84799999,0.32499999,55.354046
Nestle Butterfinger,Yes,No,No,Yes,No,No,No,Yes,No,0.60399997,0.76700002,70.735641
Nestle Crunch,Yes,No,No,No,No,Yes,No,Yes,No,0.31299999,0.76700002,66.47068
Nik L Nip,No,Yes,No,No,No,No,No,No,Yes,0.1969999999999999,0.97600001,22.445341
Now & Later,No,Yes,No,No,No,No,No,No,Yes,0.22,0.32499999,39.4468
Payday,No,No,No,Yes,Yes,No,No,Yes,No,0.465,0.76700002,46.296597
Peanut M&Ms,Yes,No,No,Yes,No,No,No,No,Yes,0.59299999,0.65100002,69.483788
Pixie Sticks,No,No,No,No,No,No,No,No,Yes,0.093000002,0.023,37.722336
Pop Rocks,No,Yes,No,No,No,No,Yes,No,Yes,0.60399997,0.83700001,41.265511
Red vines,No,Yes,No,No,No,No,No,No,Yes,0.58099997,0.1159999999999999,37.348522
Reese's Miniatures,Yes,No,No,Yes,No,No,No,No,No,0.034000002,0.27900001,81.86625699999999
Reese's Peanut Butter cup,Yes,No,No,Yes,No,No,No,No,No,0.72000003,0.65100002,84.18029
Reese's pieces,Yes,No,No,Yes,No,No,No,No,Yes,0.40599999,0.65100002,73.43499
Reese's stuffed with pieces,Yes,No,No,Yes,No,No,No,No,No,0.98799998,0.65100002,72.887901
Ring pop,No,Yes,No,No,No,No,Yes,No,No,0.73199999,0.96499997,35.290756
Rolo,Yes,No,Yes,No,No,No,No,No,Yes,0.86000001,0.86000001,65.716286
Root Beer Barrels,No,No,No,No,No,No,Yes,No,Yes,0.73199999,0.0689999979999999,29.703691
Runts,No,Yes,No,No,No,No,Yes,No,Yes,0.87199998,0.27900001,42.849144
Sixlets,Yes,No,No,No,No,No,No,No,Yes,0.22,0.081,34.722
Skittles original,No,Yes,No,No,No,No,No,No,Yes,0.94099998,0.22,63.08514
Skittles wildberry,No,Yes,No,No,No,No,No,No,Yes,0.94099998,0.22,55.103695
Nestle Smarties,Yes,No,No,No,No,No,No,No,Yes,0.26699999,0.97600001,37.887188
Smarties candy,No,Yes,No,No,No,No,Yes,No,Yes,0.26699999,0.1159999999999999,45.995827
Snickers,Yes,No,Yes,Yes,Yes,No,No,Yes,No,0.546,0.65100002,76.67378199999999
Snickers Crisper,Yes,No,Yes,Yes,No,Yes,No,Yes,No,0.60399997,0.65100002,59.529251
Sour Patch Kids,No,Yes,No,No,No,No,No,No,Yes,0.0689999979999999,0.1159999999999999,59.863998
Sour Patch Tricksters,No,Yes,No,No,No,No,No,No,Yes,0.0689999979999999,0.1159999999999999,52.825947
Starburst,No,Yes,No,No,No,No,No,No,Yes,0.15099999,0.22,67.037628
Strawberry bon bons,No,Yes,No,No,No,No,Yes,No,Yes,0.56900001,0.057999998,34.578990999999995
Sugar Babies,No,No,Yes,No,No,No,No,No,Yes,0.96499997,0.76700002,33.43755
Sugar Daddy,No,No,Yes,No,No,No,No,No,No,0.41800001,0.32499999,32.230995
Super Bubble,No,Yes,No,No,No,No,No,No,No,0.162,0.1159999999999999,27.303865
Swedish Fish,No,Yes,No,No,No,No,No,No,Yes,0.60399997,0.755,54.861111
Tootsie Pop,Yes,Yes,No,No,No,No,Yes,No,No,0.60399997,0.32499999,48.982651
Tootsie Roll Juniors,Yes,No,No,No,No,No,No,No,No,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,Yes,No,No,No,No,No,No,No,Yes,0.17399999,0.011,45.736748
Tootsie Roll Snack Bars,Yes,No,No,No,No,No,No,Yes,No,0.465,0.32499999,49.653503
Trolli Sour Bites,No,Yes,No,No,No,No,No,No,Yes,0.31299999,0.255,47.173229
Twix,Yes,No,Yes,No,No,Yes,No,Yes,No,0.546,0.90600002,81.642914
Twizzlers,No,Yes,No,No,No,No,No,No,No,0.22,0.1159999999999999,45.466282
Warheads,No,Yes,No,No,No,No,Yes,No,No,0.093000002,0.1159999999999999,39.011898
Welch's Fruit Snacks,No,Yes,No,No,No,No,No,No,Yes,0.31299999,0.31299999,44.375519
Werther's Original Caramel,No,No,Yes,No,No,No,Yes,No,No,0.186,0.26699999,41.904308
Whoppers,Yes,No,No,No,No,Yes,No,No,Yes,0.87199998,0.84799999,49.524113
